Date Saved,12.12.2025 12:29:51
Spectral Data 763[nm],0.000658010598
Spectral Data 764[nm],0.000666378241
Spectral Data 765[nm],0.000687101972
Spectral Data 766[nm],0.000718652329
Spectral Data 767[nm],0.000757059432
Spectral Data 768[nm],0.000798273773
Spectral Data 769[nm],0.000838257081
Spectral Data 770[nm],0.000874502701
Spectral Data 771[nm],0.000907562615
Spectral Data 772[nm],0.000938351674
Spectral Data 773[nm],0.000967784494
Spectral Data 774[nm],0.000996430637
Spectral Data 775[nm],0.001023125835
Spectral Data 776[nm],0.001046204241
Spectral Data 777[nm],0.001064001117
Spectral Data 778[nm],0.001075005042
Spectral Data 779[nm],0.001079733833
Spectral Data 780[nm],0.001080150250

TM-30 Color Vector Graphic,Reference Illuminant x,Reference Illuminant y,Measured Illuminant x,Measured Illuminant y
bin1,0,9782607,0,2073788,1,097028,0,2409743
bin2,0,8493618,0,5278111,0,92628,0,5230153
bin3,0,5803477,0,8143688,0,6849499,0,799654
bin4,0,2058376,0,9785861,0,2810465,0,9551865
bin5,-0,1022922,0,9947544,-0,05311623,0,9623597
bin6,-0,5300291,0,8479794,-0,5307645,0,8270951
bin7,-0,8664433,0,4992756,-0,8663221,0,4878046
bin8,-0,9904259,0,138045,-1,039376,0,119598
bin9,-0,9826241,-0,1856071,-1,029951,-0,1856134
bin10,-0,8276547,-0,5612376,-0,8653708,-0,5417767
bin11,-0,5536921,-0,8327215,-0,5868691,-0,8114368
bin12,-0,1516637,-0,9884322,-0,1232296,-0,9501745
bin13,0,1459469,-0,9892924,0,2012796,-0,9447648
bin14,0,635928,-0,7717484,0,71772,-0,700393
bin15,0,8514505,-0,524435,0,9947944,-0,4310987
bin16,0,9881377,-0,1535707,1,048338,-0,1185619
