Date Saved,2/25/2026 11:15:18 AM
Spectral Data 770[nm],0.533927440643
Spectral Data 771[nm],0.546803116798
Spectral Data 772[nm],0.557970345020
Spectral Data 773[nm],0.568025946617
Spectral Data 774[nm],0.577446579933
Spectral Data 775[nm],0.586113691330
Spectral Data 776[nm],0.593734800816
Spectral Data 777[nm],0.600017607212
Spectral Data 778[nm],0.604691624641
Spectral Data 779[nm],0.607787728310
Spectral Data 780[nm],0.609550714493

TM-30 Color Vector Graphic,Reference Illuminant x,Reference Illuminant y,Measured Illuminant x,Measured Illuminant y
bin1,0.9776177,0.2103893,0.9795155,0.212092
bin2,0.8193959,0.573228,0.8204925,0.5748828
bin3,0.5750085,0.8181474,0.5773035,0.818822
bin4,0.1652273,0.9862555,0.1678552,0.9865854
bin5,-0.0915237,0.9958029,-0.08980107,0.9963
bin6,-0.4934752,0.8697599,-0.4932974,0.8691533
bin7,-0.825331,0.5646492,-0.827724,0.563641
bin8,-0.9956073,0.09362713,-0.9992799,0.09255921
bin9,-0.9816493,-0.1906952,-0.9864997,-0.1897091
bin10,-0.8603738,-0.5096635,-0.8657592,-0.5075148
bin11,-0.5905995,-0.8069648,-0.5960969,-0.8038846
bin12,-0.1729014,-0.9849392,-0.1761674,-0.9837682
bin13,0.1407979,-0.9900383,0.1395593,-0.9879345
bin14,0.5799506,-0.8146516,0.5796866,-0.8125111
bin15,0.8352244,-0.5499093,0.8349673,-0.543981
bin16,0.9871289,-0.1599265,0.9881181,-0.1571826
